menu_start_game_0|您 好， 冒 险 者， 欢 迎 来 到 骑 马 与 砍 杀： 战 团。 游 戏 开 始 前， 你 必 须 创 建 你 的 角 色。 请 您 注 意， 游 戏 发 生 在 中 世 纪 的 传 统 社 会 里， 因 此， 战 争 和 政 治 通 常 都 由 男 性 贵 族 来 支 配。 但 这 并 不 表 示 您 不 能 选 择 一 个 女 性 角 色， 或 者 是 平 民 出 身 的 角 色 来 进 行 游 戏。 选 择 男 性 贵 族 也 许 会 让 游 戏 的 初 期 更 容 易 一 些， 不 过 女 性 和 平 民 同 样 可 以 获 得 与 前 者 相 同 的 成 就— — 实 际 上， 游 戏 初 期 更 有 挑 战 性， 也 许 会 给 您 带 来 更 多 的 乐 趣。 
mno_continue|继 续 
mno_go_back|后 退。 
menu_start_phase_2|你 听 说 过 欧 洲， 这 里 是 一 片 被 互 相 竞 争 着 的 国 家 所 割 裂 开 来 的 土 地， 是 骑 士 和 商 人 的 天 堂， 所 有 追 逐 着 财 富， 权 力 抑 或 是 荣 誉 的 人 们 皆 聚 集 于 此， 骑 士， 雇 佣 兵， 杀 手， 探 险 家 们 在 这 片 土 地 上 四 散 奔 走… … 机 会 与 危 险 并 存 于 此， 你 相 信 你 将 放 弃 过 去 的 一 切， 开 始 一 段 新 的 旅 程。 你 觉 得 最 终， 命 运 掌 握 在 你 自 己 的 手 中， 你 可 以 随 心 所 欲， 无 论 过 程 怎 样， 一 次 伟 大 的 冒 险 将 就 此 展 开。 你 被 你 所 听 说 的 欧 洲 和 它 的 王 国 们 的 神 奇 传 说 所 吸 引， 你… … 
mno_town_quest|加 入 一 支 商 队 来 到 达 你 的 目 的 地 
menu_start_game_3|选 择 剧 本 
mno_go_back|后 退。 
menu_tutorial|你 进 入 了 训 练 场， 不 少 当 地 人 都 在 里 面 进 行 着 武 器 的 训 练。 在 这 里 你 可 以 通 过 各 种 训 练 来 提 高 你 的 战 斗 技 巧。 
mno_continue|继 续 
mno_choose_scene|场 景 选 择 
mno_go_back_dot|后 退。 
menu_reports|角 色 声 望： {reg5}^ 荣 誉 级 别： {reg6}^ 部 队 士 气： {reg8}^ 部 队 上 限： {reg7}^ 
mno_view_character_report|角 色 状 态。 
mno_view_party_size_report|部 队 上 限。 
mno_view_npc_mission_report|任 务 简 报。 
mno_view_weekly_budget_report|部 队 收 支。 
mno_view_morale_report|部 队 士 气。 
mno_lord_relations|按 照 关 系 查 看 已 认 识 的 领 主。 
mno_courtship_relations|个 人 问 题。 
mno_view_faction_relations_report|阵 营 关 系。 
mno_resume_travelling|继 续 旅 程。 
menu_custom_battle_scene|(NO TRANS)
menu_custom_battle_end|战 斗 结 束。 {s1}你 的 队 伍 杀 死 了 {reg5}人， 敌 人 的 队 伍 杀 死 了 {reg6}人。 你 杀 死 了 {reg7}人。 
mno_continue|继 续 
menu_start_game_1|选 择 你 的 角 色 性 别。 
mno_start_male|男 
mno_start_female|女 
mno_enable_quickstart|使 用 快 速 开 始 模 式（测 试 专 用）
mno_disable_quickstart|关 闭 快 速 开 始 模 式（测 试 专 用）
mno_go_back|后 退。 
menu_start_character_1|当 你 很 多 年 前 出 生 在 一 片 遥 远 的 大 陆 时， 你 的 父 亲 是… … 
mno_start_noble|一 位 没 落 的 贵 族。 
mno_start_merchant|一 位 旅 行 商 人。 
mno_start_guard|一 位 老 兵。 
mno_start_forester|一 位 猎 人。 
mno_start_nomad|一 位 游 牧 民。 
mno_start_thief|一 位 盗 贼。 
mno_go_back|后 退。 
menu_start_character_2|{s10}^^ 后 来， 你 在 少 年 时 期 做 过… … 
mno_page|贵 族 的 侍 从。 
mno_apprentice|手 工 匠 的 学 徒。 
mno_stockboy|商 人 们 的 帮 手。 
mno_urchin|大 街 上 的 顽 童。 
mno_nomad|大 草 原 上 的 孩 子。 
mno_go_back|后 退。 
menu_start_character_3|{s11}^^ 后 来， 在 你 的 少 年 时 期， 你 的 生 活 理 所 应 当 的 改 变 了。 你 成 为 了 一 个… … 
mno_squire|骑 士 的 扈 从。 
mno_lady|贵 族 的 侍 女。 
mno_troubadour|吟 游 诗 人。 
mno_student|学 徒。 
mno_peddler|小 商 贩。 
mno_craftsman|铁 匠。 
mno_poacher|偷 猎 者。 
mno_go_back|后 退。 
menu_start_character_4|{s12}^^ 不 过 在 一 段 时 间 以 后， 一 切 都 发 生 了 变 化， 你 决 定 孤 身 一 人 去 远 方 冒 险。 让 你 做 出 这 个 举 动 的 原 因 是… … 
mno_revenge|私 人 恩 怨。 
mno_death|失 去 恋 人 的 痛 苦。 
mno_wanderlust|对 于 探 险 的 爱 好。 
mno_disown|从 家 中 被 驱 赶 了 出 来。 
mno_greed|对 于 权 力 与 财 富 的 渴 望。 
mno_go_back|后 退。 
menu_choose_skill|{s13}
mno_begin_adventuring|你 成 为 了 一 名 冒 险 者 追 寻 自 己 的 命 运。 
mno_go_back_dot|后 退。 
menu_past_life_explanation|{s3}
mno_view_next|{s5}
mno_continue|继 续 
mno_go_back_dot|后 退。 
menu_morale_report|{s1}
mno_continue|继 续 
menu_courtship_relations|{s1}
mno_continue|继 续 
menu_lord_relations|{s1}
mno_continue|继 续 
menu_companion_report|{s7}{s1}
mno_continue|继 续 
mno_go_back_dot|后 退。 
menu_character_report|{s9}
menu_party_size_report|{s1}
mno_continue|继 续 
menu_faction_relations_report|{s1}
mno_continue|继 续 
menu_camp|营 地 已 经 建 好 了， 你 想 要 做 什 么？ 
mno_camp_action_1|四 处 走 走。 
mno_action_export_import|导 入 /导 出 NPC。 
mno_action_mod_options|Mod 选 项 
mno_action_faction_colours|更 改 阵 营 颜 色 
mno_camp_manage_inventory|管 理 团 队 物 品 
mno_camp_action|干 点 事 情。 
mno_camp_wait_here|在 这 里 待 一 会 儿。 
mno_camp_cheat|作 弊 菜 单！ 
mno_resume_travelling|继 续 旅 程。 
menu_camp_cheat|选 择 作 弊 项 目： 
mno_camp_cheat_find_item|查 找 项 目 … …
mno_camp_cheat_find_item|改 变 天 气 … … 
menu_camp_action|选 择 你 要 做 的 事： 
mno_camp_recruit_prisoners|从 俘 虏 中 募 兵。 
mno_action_read_book|选 一 本 书 读。 
mno_action_rename_kingdom|重 命 名 你 的 王 国 
mno_action_retire|从 冒 险 中 退 出。 
mno_camp_action_4|退 回 营 地 菜 单。 
menu_camp_recruit_prisoners|你 答 应 这 些 俘 虏， 如 果 他 们 加 入 你 的 话， 你 就 给 他 们 以 自 由。 {s18}
mno_camp_recruit_prisoners_accept|接 受。 
mno_camp_recruit_prisoners_reject|拒 绝。 
mno_continue|继 续 
menu_camp_no_prisoners|你 没 有 俘 虏 可 以 招 募。 
mno_continue|继 续 
menu_camp_action_read_book|选 一 本 书 读： 
mno_action_read_book_1|{s1}。 
mno_action_read_book_2|{s1}。 
mno_action_read_book_3|{s1}。 
mno_action_read_book_4|{s1}。 
mno_action_read_book_5|{s1}。 
mno_action_read_book_6|{s1}。 
mno_action_read_book_7|{s1}。 
mno_camp_action_4|退 回 营 地 菜 单。 
menu_camp_action_read_book_start|{s1}
mno_continue|继 续 
menu_retirement_verify|你 现 在 的 时 间 是 {reg0}天。 运 气 是 {reg1}。 你 确 实 想 要 从 这 场 冒 险 中 退 出 吗？ 
mno_retire_yes|是 的。 
mno_retire_no|不。 
menu_end_game|去 意 已 决， 你 决 定 放 弃 冒 险 者 的 生 活， 并 定 居 下 来。 你 卖 掉 了 所 有 的 武 器 与 护 甲， 收 拾 起 行 囊， 策 马 奔 向 夕 阳 的 余 辉 之 中… … 
mno_end_game_bye|再 会。 
menu_cattle_herd|你 遇 到 了 一 群 牛。 
mno_cattle_drive_away|赶 走 他 们。 
mno_cattle_stop|把 他 们 带 到 一 个 休 息 点。 
mno_cattle_kill|屠 宰 其 中 的 一 些。 
mno_leave|离 开 
menu_cattle_herd_kill|你 想 屠 宰 几 头？ 
mno_cattle_kill_1|一。 
mno_cattle_kill_2|二。 
mno_cattle_kill_3|三。 
mno_cattle_kill_4|四。 
mno_cattle_kill_5|五。 
mno_go_back_dot|后 退。 
menu_arena_duel_fight|你 和 你 的 对 手 准 备 决 斗。 
mno_continue|继 续 
mno_continue|继 续 
menu_simple_encounter|{s2}你 将 以 {reg10}人 的 部 队 迎 战 对 手 {reg11}人。 
mno_encounter_attack|攻 入 敌 阵！ 
mno_encounter_attack|攻 入 敌 阵！ 
mno_encounter_order_attack|坐 镇 指 挥， 让 你 的 部 队 攻 击。 
mno_encounter_leave|离 开。 
mno_encounter_retreat|以 留 下 少 量 部 队 掩 护 为 代 价 撤 退。 
mno_encounter_surrender|投 降。 
menu_encounter_retreat_confirm|队 员 中 最 高 战 术 技 能 为 {reg2}级， 因 此 {reg3? 你 制 定 :{s3}制 定}了 一 个 计 划， 来 让 你 和 你 大 部 分 的 部 队 可 以 活 着 退 出 战 斗， 但 是 你 必 须 牺 牲 {reg4}个 战 士 来 进 行 掩 护。 
mno_leave_behind|实 行 计 划。 以 牺 牲 掉 那 些 人 的 代 价 拯 救 剩 下 的 部 队。 
mno_dont_leave_behind|不， 我 们 不 会 牺 牲 任 何 一 个 战 友。 
menu_encounter_retreat|你 命 令 {reg4}名 战 士 负 责 在 大 部 队 撤 退 的 时 候 拖 住 敌 人 前 进 的 步 伐。 
mno_continue|继 续 
menu_order_attack_begin|你 的 部 队 已 经 做 好 了 战 斗 准 备。 
mno_order_attack_begin|下 令 攻 击。 
mno_call_back|后 撤。 
menu_order_attack_2|{s4}^^ 我 军 人 员 伤 亡： {s8}^^ 敌 军 人 员 伤 亡： {s9}
mno_order_attack_continue|继 续 攻 击。 
mno_order_retreat|让 你 的 士 兵 撤 回 来。 
mno_continue|继 续 
menu_battle_debrief|{s11}伤 亡： ^^ 我 军 伤 亡： {s8}{s10}^^ 敌 军 伤 亡： {s9}
mno_continue|继 续 
