p_zendar|禅 达 
p_town_1|克 拉 科 夫 
p_town_2|弗 罗 茨 瓦 夫 
p_town_3|格 但 斯 克 
p_town_4|波 兹 南 
p_town_1_1|艾 尔 宾 
p_town_1_2|哥 尼 斯 堡 
p_town_1_3|索 尔 
p_town_1_4|里 加 
p_town_2_1|维 尔 纽 斯 
p_town_2_2|考 那 斯 
p_town_2_3|格 罗 德 诺 
p_town_2_4|波 拉 茨 克 
p_town_3_1|撒 莱 
p_town_3_2|斯 摩 棱 斯 克 
p_town_3_3|基 辅 
p_town_3_4|切 尔 尼 戈 夫 
p_town_4_1|隆 德 
p_town_4_2|罗 斯 凯 蒂 
p_town_4_3|瑞 威 尔 
p_town_4_4|维 堡 
p_town_6_1|纽 伦 堡 
p_town_6_2|科 隆 
p_town_6_3|法 兰 克 福 
p_town_6_4|布 拉 格 
p_town_6_5|马 格 德 堡 
p_town_6_6|吕 贝 克 
p_town_6_7|热 那 亚 
p_town_7_1|瓦 尔 德 
p_town_7_2|萨 格 勒 布 
p_town_7_3|布 拉 迪 拉 
p_town_7_4|塞 格 德 
p_town_8_1|诺 夫 哥 罗 德 
p_town_8_2|斯 塔 拉 亚 罗 萨 
p_town_9_1|伦 敦 
p_town_9_2|布 里 斯 托 尔 
p_town_9_3|切 斯 特 
p_town_9_4|约 克 
p_town_9_5|波 尔 多 
p_town_9_6|都 柏 林 
p_town_10_1|巴 黎 
p_town_10_2|雷 恩 
p_town_10_3|布 尔 日 
p_town_10_4|兰 斯 
p_town_10_5|马 塞 
p_town_10_6|艾克斯 
p_town_11_1|尼 达 罗 斯 
p_town_11_2|拜 尔 金 
p_town_11_3|阿 斯 隆 
p_town_12_1|斯 特 灵 
p_town_12_2|格 拉 斯 哥 
p_town_13_1|多 尼 哥 
p_town_13_2|邓 甘 嫩 
p_town_14_1|维 斯 查 尔 斯 
p_town_14_2|阿 布 
p_town_14_3|维 瑟 图 
p_town_15_1|沃 伦 斯 基 
p_town_15_2|加 利 奇 
p_town_15_3|利 沃 夫 
p_town_16_1|里 斯 本 
p_town_16_2|科 英 布 拉 
p_town_17_1|巴 塞 罗 那 
p_town_17_2|瓦 伦 西 亚 
p_town_18_1|托 莱 多 
p_town_18_2|塞 维 利 亚 
p_town_20_1|格 拉 纳 达 
p_town_20_2|朗 达 
p_town_21_1|罗 马 
p_town_22_1|尼 西 亚 
p_town_22_2|士 麦 那 
p_town_22_3|长 内 
p_town_22_4|埃 塞 隆 尼 克 
p_town_23_1|诶 克 
p_town_23_2|塔 瑟 斯 
p_town_23_3|耶 路 撒 冷 
p_town_23_4|安 提 俄 克 
p_town_23_5|尼 科 西 亚 
p_town_24_1|巴 勒 莫 
p_town_24_2|那 不 勒 斯 
p_town_25_1|开 罗 
p_town_25_2|亚 历 山 德 里 亚 
p_town_25_3|达 米 埃 塔 
p_town_26_1|君 士 坦 丁 堡 
p_town_26_2|雅 典 
p_town_27_1|特 拉 比 松 
p_town_27_2|安 卡 拉 
p_town_27_3|伊 康 
p_town_28_1|突 尼 斯 
p_town_28_2|的 黎 波 里 
p_town_29_1|贝 尔 格 莱 德 
p_town_29_2|尼 什 
p_town_30_1|塔 洛 夫 
p_town_30_2|菲 利 普 波 利 斯 
p_town_31_1|非 斯 
p_town_31_2|马 拉 克 什 
p_town_31_3|奥 兰 
p_castle_1|格 涅 兹 诺 堡 
p_castle_2|桑 多 梅 日 堡 
p_castle_3|格 沃 堡 
p_castle_4|奥 波 莱 堡 
p_castle_5|车 默 诺 堡 
p_castle_6|克 斯 沃 堡 
p_castle_7|卢 布 斯 卡 堡 
p_castle_8|卢 布 林 堡 
p_castle_1_1|阿 明 斯 格 堡 
p_castle_1_2|巴 尔 加 堡 
p_castle_1_3|费 林  堡 
p_castle_1_4|乔 根 堡 堡 
p_castle_1_5|多 尔 帕 特 堡 
p_castle_1_6|兰 邵 堡 
p_castle_1_7|特 雷 登 堡 
p_castle_1_8|克 维 曾 堡 
p_castle_1_9|温 登 堡 
p_castle_2_1|拉 塞 纳 一 堡 
p_castle_2_2|赛 梅 科 莱 堡 
p_castle_2_3|莫 迪 宁 凯 堡 
p_castle_2_4|克 那 沃 堡 
p_castle_2_5|佐 拉 皮 里 斯 堡 
p_castle_2_6|那 柳 雅 克 堡 
p_castle_2_7|明 斯 克 堡 
p_castle_2_8|维 捷 布 克 堡 
p_castle_3_1|梁 赞 堡 
p_castle_3_2|弗 拉 基 米 尔 堡 
p_castle_3_3|别 尔 哥 罗 德 堡 
p_castle_3_4|诺 夫 哥 罗 德 堡 
p_castle_3_5|雅 罗 拉 夫 尔 堡 
p_castle_3_6|莫 斯 科 堡 
p_castle_3_7|佩 拉 沙 弗 堡 
p_castle_4_1|阿 哥 斯 堡 
p_castle_4_2|阿 罗 斯 堡 
p_castle_4_3|雷 普 路 斯 堡 
p_castle_4_4|萨 斯 维 奇 堡 
p_castle_4_5|斯 威 堡 
p_castle_4_6|卡 伦 达 堡 
p_castle_4_7|海 尔 辛 格 堡 
p_castle_4_8|瓦 外 尔 堡 
p_castle_6_1|亚 琛 堡 
p_castle_6_2|特 里 尔 堡 
p_castle_6_3|维 也 纳 堡 
p_castle_6_4|美 因 茨 堡 
p_castle_6_5|慕 尼 黑 堡 
p_castle_6_6|勃 兰 登 堡 
p_castle_6_7|洛 伊 文 堡 
p_castle_6_8|南 希 堡 
p_castle_6_9|维 罗 纳 堡 
p_castle_6_10|斯 特 拉 斯 堡 
p_castle_6_11|巴 登 堡 
p_castle_6_12|迈 森 堡 
p_castle_7_1|布 雷 比 尔 堡 
p_castle_7_2|莎 瓦 尔 堡 
p_castle_7_3|科 塞 格 堡 
p_castle_7_4|希 克 洛 什 堡 
p_castle_7_5|佐 约 姆 堡 
p_castle_7_6|帕 塔 卡 堡 
p_castle_7_7|考 洛 乔 堡 
p_castle_7_8|艾 斯 特 根 堡 
p_castle_8_1|普 斯 科 夫 堡 
p_castle_8_2|大 卢 基 堡 
p_castle_9_1|比 斯 顿 堡 
p_castle_9_2|刘 易 斯 堡 
p_castle_9_3|科 夫 堡 
p_castle_9_4|多 佛 尔 堡 
p_castle_9_5|班 堡 
p_castle_9_6|兰 开 斯 特 堡 
p_castle_9_7|克 莱 尔 堡 
p_castle_9_8|彭 布 罗 克 城 堡
p_castle_9_9|韦 克 斯 福 德 堡 
p_castle_10_1|卡 利 斯 堡 
p_castle_10_2|格 勒 诺 布 尔 堡 
p_castle_10_3|图 尔 斯 堡 
p_castle_10_4|鲁 昂 堡 
p_castle_10_5|卡 昂 堡 
p_castle_10_6|梅 济 耶 尔 堡 
p_castle_10_7|南 特 堡 
p_castle_10_8|敦 刻 尔 克 堡 
p_castle_10_9|图 卢 兹 堡 
p_castle_10_10|第 戎 堡 
p_castle_10_11|阿 拉 斯 堡 
p_castle_10_12|昂 杰 堡 
p_castle_11_1|伯 乐 图 堡 
p_castle_11_2|伯 金 德 堡 
p_castle_11_3|斯 塔 法 格 堡 
p_castle_11_4|它 图 斯 勒 堡 
p_castle_11_5|拉 根 菲 卢 热 堡 
p_castle_11_6|曼 那 堡 
p_castle_12_1|厄 克 特 堡 
p_castle_12_2|丁 瓦 尔 堡 
p_castle_12_3|吉 尔 拉 菲 堡 
p_castle_12_4|爱 丁 堡 
p_castle_13_1|斯 莱 戈 堡 
p_castle_13_2|塔 里 好 福 特 堡 
p_castle_13_3|布 拉 尼 堡 
p_castle_13_4|卡 里 卡 拉 克 堡 
p_castle_14_1|卡 拉 米 尔 堡 
p_castle_14_2|斯 托 克 图 尔 堡 
p_castle_14_3|斯 卡 拉 堡 
p_castle_14_4|维 真 西 堡 
p_castle_14_5|斯 台 巨 堡 
p_castle_14_6|林 克 潘 堡 
p_castle_15_1|米 斯 尔 堡 
p_castle_15_2|卢 茨 克 堡 
p_castle_15_3|德 罗 希 琴 堡 
p_castle_15_4|巴 克 马 堡 
p_castle_15_5|比 莱 斯 特 堡 
p_castle_15_6|特 里 巴 夫 堡 
p_castle_16_1|吉 马 良 斯 堡 
p_castle_16_2|梅 尔 图 拉 堡 
p_castle_16_3|西 尔 韦 斯 堡 
p_castle_16_4|布 拉 干 萨 堡 
p_castle_17_1|萨 拉 戈 萨 堡 
