itm_no_item|INVALID ITEM 
itm_no_item_pl|INVALID ITEM 
itm_tutorial_spear|矛 
itm_tutorial_spear_pl|矛 
itm_tutorial_club|木 棒 
itm_tutorial_club_pl|木 棒 
itm_tutorial_battle_axe|戰 鬥 斧 
itm_tutorial_battle_axe_pl|戰 鬥 斧 
itm_tutorial_arrows|箭 
itm_tutorial_arrows_pl|箭 
itm_tutorial_bolts|弩 矢 
itm_tutorial_bolts_pl|弩 矢 
itm_tutorial_short_bow|單 體 弓 
itm_tutorial_short_bow_pl|單 體 弓 
itm_tutorial_crossbow|弩 
itm_tutorial_crossbow_pl|弩 
itm_tutorial_throwing_daggers|飛 刀 
itm_tutorial_throwing_daggers_pl|飛 刀 
itm_tutorial_saddle_horse|旅 行 馬 
itm_tutorial_saddle_horse_pl|旅 行 馬 
itm_tutorial_shield|箏 形 盾 
itm_tutorial_shield_pl|箏 形 盾 
itm_tutorial_staff_no_attack|棍 
itm_tutorial_staff_no_attack_pl|棍 
itm_tutorial_staff|棍 
itm_tutorial_staff_pl|棍 
itm_tutorial_sword|劍 
itm_tutorial_sword_pl|劍 
itm_tutorial_axe|斧 
itm_tutorial_axe_pl|斧 
itm_tutorial_dagger|匕 首 
itm_tutorial_dagger_pl|匕 首 
itm_horse_meat|馬 肉 
itm_horse_meat_pl|馬 肉 
itm_practice_sword|練 習 劍 
itm_practice_sword_pl|練 習 劍 
itm_heavy_practice_sword|重 型 練 習 劍 
itm_heavy_practice_sword_pl|重 型 練 習 劍 
itm_practice_dagger|練 習 匕 首 
itm_practice_dagger_pl|練 習 匕 首 
itm_practice_axe|練 習 斧 
itm_practice_axe_pl|練 習 斧 
itm_arena_axe|斧 
itm_arena_axe_pl|斧 
itm_arena_sword|劍 
itm_arena_sword_pl|劍 
itm_arena_sword_two_handed|雙 手 劍 
itm_arena_sword_two_handed_pl|雙 手 劍 
itm_arena_lance|騎 槍 
itm_arena_lance_pl|騎 槍 
itm_practice_staff|練 習 棍 
itm_practice_staff_pl|練 習 棍 
itm_practice_lance|練 習 騎 槍 
itm_practice_lance_pl|練 習 騎 槍 
itm_practice_shield|練 習 盾 
itm_practice_shield_pl|練 習 盾 
itm_practice_bow|練 習 弓 
itm_practice_bow_pl|練 習 弓 
itm_practice_crossbow|練 習 弩 
itm_practice_crossbow_pl|練 習 弩 
itm_practice_javelin|練 習 標 槍 
itm_practice_javelin_pl|練 習 標 槍 
itm_practice_javelin_melee|練 習 近 戰 標 槍 
itm_practice_javelin_melee_pl|練 習 近 戰 標 槍 
itm_practice_throwing_daggers|飛 刀 
itm_practice_throwing_daggers_pl|飛 刀 
itm_practice_throwing_daggers_100_amount|飛 刀 
itm_practice_throwing_daggers_100_amount_pl|飛 刀 
itm_practice_horse|練 習 馬 
itm_practice_horse_pl|練 習 馬 
itm_practice_arrows|練 習 箭 
itm_practice_arrows_pl|練 習 箭 
itm_practice_bolts|練 習 弩 矢 
itm_practice_bolts_pl|練 習 弩 矢 
itm_practice_arrows_10_amount|練 習 箭 
itm_practice_arrows_10_amount_pl|練 習 箭 
itm_practice_arrows_100_amount|練 習 箭 
itm_practice_arrows_100_amount_pl|練 習 箭 
itm_practice_bolts_9_amount|練 習 弩 矢 
