trp_multiplayer_profile_troop_male|聯 機 男 性 玩 家 角 色 
trp_multiplayer_profile_troop_male_pl|聯 機 男 性 玩 家 角 色 
trp_multiplayer_profile_troop_female|聯 機 女 性 玩 家 角 色 
trp_multiplayer_profile_troop_female_pl|聯 機 女 性 玩 家 角 色 
trp_temp_troop|Temp Troop
trp_temp_troop_pl|Temp Troop
trp_find_item_cheat|find item cheat
trp_find_item_cheat_pl|find item cheat
trp_random_town_sequence|Random Town Sequence
trp_random_town_sequence_pl|Random Town Sequence
trp_tournament_participants|競 技 場 選 手 
trp_tournament_participants_pl|競 技 場 選 手 
trp_tutorial_maceman|錘 子 手 
trp_tutorial_maceman_pl|錘 子 手 
trp_tutorial_archer|弓 箭 手 
trp_tutorial_archer_pl|弓 箭 手 
trp_tutorial_swordsman|劍 士 
trp_tutorial_swordsman_pl|劍 士 
trp_novice_fighter|初 級 鬥 士 
trp_novice_fighter_pl|初 級 鬥 士 
trp_regular_fighter|職 業 鬥 士 
trp_regular_fighter_pl|職 業 鬥 士 
trp_veteran_fighter|資 深 鬥 士 
trp_veteran_fighter_pl|資 深 鬥 士 
trp_champion_fighter|格 鬥 大 師
trp_champion_fighter_pl|格 鬥 大 師
trp_arena_training_fighter_1|初 級 鬥 士 
trp_arena_training_fighter_1_pl|初 級 鬥 士 
trp_arena_training_fighter_2|初 級 鬥 士 
trp_arena_training_fighter_2_pl|初 級 鬥 士 
trp_arena_training_fighter_3|正 規 鬥 士 
trp_arena_training_fighter_3_pl|正 規 鬥 士 
trp_arena_training_fighter_4|正 規 鬥 士 
trp_arena_training_fighter_4_pl|正 規 鬥 士 
trp_arena_training_fighter_5|正 規 鬥 士 
trp_arena_training_fighter_5_pl|正 規 鬥 士 
trp_arena_training_fighter_6|資 深 鬥 士 
trp_arena_training_fighter_6_pl|資 深 鬥 士 
trp_arena_training_fighter_7|資 深 鬥 士 
trp_arena_training_fighter_7_pl|資 深 鬥 士 
trp_arena_training_fighter_8|資 深 鬥 士 
trp_arena_training_fighter_8_pl|資 深 鬥 士 
trp_arena_training_fighter_9|精 英 鬥 士 
trp_arena_training_fighter_9_pl|精 英 鬥 士 
trp_arena_training_fighter_10|精 英 鬥 士 
trp_arena_training_fighter_10_pl|精 英 鬥 士 
trp_cattle|牛 
trp_cattle_pl|牛 
trp_farmer|自 由 民 
trp_farmer_pl|自 由 民 
trp_mercenary_village_skirmisher|雇 佣 散 兵 射 手 
trp_mercenary_village_skirmisher_pl|雇 佣 散 兵 射 手 
trp_mercenary_town_footman|雇 佣 步 兵 矛 手 
trp_mercenary_town_footman_pl|雇 佣 步 兵 矛 手 
trp_mercenary_veteran_swordsman|雇 佣 劍 士 
trp_mercenary_veteran_swordsman_pl|雇 佣 劍 士 
trp_mercenary_veteran_billman|雇 佣 鉤 鐮 兵 
trp_mercenary_veteran_billman_pl|雇 佣 鉤 鐮 兵 
trp_mercenary_veteran_spearman|雇 佣 長 矛 手 
trp_mercenary_veteran_spearman_pl|雇 佣 長 矛 手 
trp_mercenary_veteran_crossbowman|雇 佣 弩 手 
trp_mercenary_veteran_crossbowman_pl|雇 佣 弩 手 
trp_mercenary_veteran_archer|雇 佣 弓 箭 手 
trp_mercenary_veteran_archer_pl|雇 佣 弓 箭 手 
trp_mercenary_bills_sergeant|雇 佣 資 深 鉤 鐮 兵 
trp_mercenary_bills_sergeant_pl|雇 佣 資 深 鉤 鐮 兵 
trp_mercenary_swords_sergeant|雇 佣 資 深 劍 客 
trp_mercenary_swords_sergeant_pl|雇 佣 資 深 劍 客 
trp_mercenary_spears_sergeant|雇 佣 資 深 長 矛 兵 
trp_mercenary_spears_sergeant_pl|雇 佣 資 深 長 矛 兵 
trp_mercenary_crossbows_sergeant|雇 佣 資 深 弩 手 
trp_mercenary_crossbows_sergeant_pl|雇 佣 資 深 弩 手 
trp_mercenary_light_cavalry|雇 佣 輔 助 後 備 騎 手 
trp_mercenary_light_cavalry_pl|雇 佣 輔 助 後 備 騎 手 
trp_mercenary_medium_cavalry|雇 佣 職 業 重 裝 騎 兵
trp_mercenary_medium_cavalry_pl|雇 佣 職 業 重 裝 騎 兵
trp_mercenary_squire|雇 佣 警 備 侍 從 
trp_mercenary_squire_pl|雇 佣 警 備 侍 從 
trp_mercenary_knight|游 俠 
trp_mercenary_knight_pl|游 俠 
trp_merc_sicily_foot_archer_1|西 西 裡 雇 佣 弓 箭 手 
trp_merc_sicily_foot_archer_1_pl|西 西 裡 雇 佣 弓 箭 手 
trp_merc_sicily_foot_archer_2|西 西 裡 護 衛 弓 箭 手 
