qstr_{reg61}.0{reg62}|{reg61}.0{reg62}
qstr_{reg61}.{reg62}|{reg61}.{reg62}
qstr_Shot_distance:_{s1}_|Shot distance: {s1} meters.
qstr_Anno_Domini_1257|Anno Domini 1257
qstr_ad1257svn_revision:_|ad1257svn revision: 
qstr_{s21}{s22}|{s21}{s22}
qstr_Next_Page|Next Page
qstr_Game_Rules:^|Game Rules:^
qstr_0|0
qstr_Show_game_rules|Show game rules
qstr_Continue...|Continue...
qstr_Candidate_#1:_{s1}|Candidate #1: {s1}
qstr_Candidate_#2:_{s1}|Candidate #2: {s1}
qstr_{s3}_of_{s4}_wishes_|{s3} of {s4} wishes to select a new marshall and invites his vassals for a counsel. {s1} and {s2} are the likely candidates.
qstr_Who_do_you_wish_to_s|Who do you wish to support?
qstr_{s1}_gives_his_suppo|{s1} gives his support to {s2}.
qstr_Number_of_Supporters|Number of Supporters: {reg0}
qstr_{s2}_has_heard_his_v|{s2} has heard his vassals' counsel. He selects {s1} as the marshall of {s3}.
qstr_Action|Action
qstr_Mount|Mount
qstr_Attack_Type|Attack Type
qstr_Stand_Ground|Stand Ground
qstr_Charge|Charge
qstr_Follow_Me|Follow Me
qstr_Hold_This_Position|Hold This Position
qstr_Spread_Out|Spread Out
qstr_Stand_Closer|Stand Closer
qstr_Fall_Back|Fall Back
qstr_Advance|Advance
qstr_Dismount|Dismount
qstr_Fire_At_Will|Fire At Will
qstr_Hold_Your_Fire|Hold Your Fire
qstr_Use_Blunt_Weapons|Use Blunt Weapons
qstr_Use_Any_Weapon|Use Any Weapon
qstr_Ready|Ready
qstr_Wounded|Wounded
qstr_Dead|Dead
qstr_Number_of_men_knocke|Number of men knocked down: {reg1}
qstr_Number_of_men_left:_|Number of men left: {reg1}
qstr_Opponents_Beaten:_{r|Opponents Beaten: {reg1}
qstr_Opponents_Remaining:|Opponents Remaining: {reg1}
qstr_Remain_in_retirement|Remain in retirement.
qstr_Go_back_to_the_adven|Go back to the adventuring.
qstr_You_have_retired_at_|You have retired at level {reg4} after {reg5} days of adventuring.
qstr_Effect_on_Score|Effect on Score
qstr_Settlements_owned_by|Settlements owned by you: {reg0}
qstr_Friendly_Settlements|Friendly Settlements: {reg0}
qstr_Hostile_Settlements:|Hostile Settlements: {reg0}
qstr_Friendly_Lords:_{reg|Friendly Lords: {reg0}
qstr_Enemy_Lords:_{reg0}|Enemy Lords: {reg0}
qstr_Victories:_{reg0}|Victories: {reg0}
qstr_Defeats:_{reg0}|Defeats: {reg0}
qstr_Quests_Completed:_{r|Quests Completed: {reg0}
qstr_Companions_Found:_{r|Companions Found: {reg0}
qstr_Companions_Lost/Depa|Companions Lost/Departed: {reg0}
qstr_Wealth:_{reg0}_denar|Wealth: {reg0} denars
qstr_Inventory:_{reg0}_de|Inventory: {reg0} denars
qstr_Renown:_{reg0}|Renown: {reg0}
qstr_Experience:_{reg0}|Experience: {reg0}
qstr_Days_Passed:_{reg0}|Days Passed: {reg0}
qstr_Difficulty:_{reg0}%|Difficulty: {reg0}%
qstr_TOTAL_SCORE:_{reg0}|TOTAL SCORE: {reg0}
qstr_{s0}__{s50}_|{s0} ({s50})
qstr_None|None
qstr_{s25}__{reg25}_day_s|{s25} ({reg25} day(s) left):
qstr_{s55}___{reg0}%_|{s55} (-{reg0}%)
qstr_{s55}|{s55}
qstr_Staff:|Staff:
qstr_You_paid_{reg0}_cash|You paid {reg0} cash to liquidate a debt
qstr_Next_Payday|Next Payday
qstr_Earlier_cash:|Earlier cash:
qstr_New_cash:|New cash:
qstr___DEBUG___g_latest_o|--DEBUG-- g latest order 1 is 3
qstr___DEBUG___g_latest_or|--DEBUG-- g latest order 1 is 2
qstr___DEBUG___g_latest_ord|--DEBUG-- g latest order 1 is 1
qstr_Us:_{reg12}_Allies:_|Us: {reg12} Allies: {reg13} Enemies: {reg14}
qstr_Us:_n/a_Allies:_n/a_|Us: n/a Allies: n/a Enemies: n/a
qstr_BATTLE_WON!|BATTLE WON!
qstr_BATTLE_LOST!|BATTLE LOST!
qstr_Next|Next
qstr_Previous|Previous
qstr_Accept|Accept
qstr_Done|Done
qstr_Name:_{s1}^Level:_{r|Name: {s1}^Level: {reg1}
qstr_{s1}^HP:_{reg1}/{reg|{s1}^HP: {reg1}/{reg2}
qstr_{s1}|{s1}
qstr_Weapon_upgrade_setti|Weapon upgrade settings:
qstr_Plan_<1>_|Plan <1> 
qstr_Apply_to_everyone|Apply to everyone
qstr_Plan_<2>_|Plan <2> 
qstr_Use_plan_<1>_|Use plan <1> 
qstr_Use_plan_<2>_|Use plan <2> 
qstr_Upgrade_armor_|Upgrade armor 
qstr_Upgrade_horse_|Upgrade horse 
qstr_Price_threshold_of_i|Price threshold of items for picking:
qstr_Sell_items_automatic|Sell items automaticly when leaving:
qstr_Price_limit_for_auto|Price limit for auto-sell:
qstr_Item_types_for_auto_|Item types for auto-sell:
qstr_Select_all|Select all
qstr_Select_invert|Select invert
qstr_Faction_color_of_{s0|Faction color of {s0}:
qstr_Red:|Red:
qstr_Green:|Green:
qstr_Blue:|Blue:
qstr__| 
qstr_HTML_code:_{s0}|HTML code: {s0}
qstr_Default|Default
qstr_Randomize|Randomize
qstr_{s1}^HP:_{reg0}|{s1}^HP: {reg0}
qstr_Attributes:|Attributes:
qstr_{s3}^STR:_{reg1}^INT|{s3}^STR: {reg1}^INT: {reg2}^^Skills:
qstr_{s3}^Power_Strike:_{|{s3}^Power Strike: {reg1}^Power Draw: {reg2}^Power Throw: {reg3}^Horse Archery: {reg4}^^Weapon Proficiencies:
qstr_{s3}^1_Hand_Wpns:_{r|{s3}^1 Hand Wpns: {reg1}^2 Hand Wpns: {reg2}^Polearms: {reg3}
qstr_{s3}|{s3}
qstr_{s4}^AGI:_{reg1}^CHA|{s4}^AGI: {reg1}^CHA: {reg2}^^
qstr_{s4}^Ironflesh:_{reg|{s4}^Ironflesh: {reg1}^Athletics: {reg2}^Shield: {reg3}^Riding: {reg4}^^
qstr_{s4}^Archery:_{reg1}|{s4}^Archery: {reg1}^Crossbows: {reg2}^Throwing: {reg3}
qstr_{s4}|{s4}
qstr_Equipments:_|Equipments: 
qstr_Travel_speed__recomm|Travel speed (recommended 75%):
qstr_Use_shield_bash__pla|Use shield bash (player):
qstr_Use_shield_bash__AI_|Use shield bash (AI):
qstr_Spear_bracing:|Spear bracing:
qstr_Force_ranged_troops_|Force ranged troops to use their ranged weapons:
qstr_Disable_NPCs__compla|Disable NPCs' complaints:
qstr_Show_battle_mini_map|Show battle mini map:
qstr_Reinforcement_waves:|Reinforcement waves:
qstr_Probability_of_rain/|Probability of rain/snow (%):
qstr_Cloud_amount:|Cloud amount:
qstr_Fog_strength:|Fog strength:
qstr_Probability_of_sands|Probability of sandstorm/blizzard/storm (%):
qstr_Use_English_faction_|Use English faction names:
qstr_Use_unit_indications|Use unit indications:
qstr_Use_banner_man:|Use banner-man:
qstr_Use_Custom_battlefie|Use Custom-battlefields:
qstr_Weapon_break:|Weapon break:
qstr_ERROR____wrong_numbe|ERROR -- wrong number of villages, need {reg26} have {reg27}
qstr_ERROR____Castles:_{r|ERROR -- Castles: {reg28} seneschals: {reg26}
qstr_ERROR____Villages:_{|ERROR -- Villages: {reg27} elders: {reg26}
qstr_ERROR____Towns:_{reg|ERROR -- Towns: {reg25} seneschals: {reg26}
qstr_ERROR____Towns:_{reg2|ERROR -- Towns: {reg25} mayors: {reg26}
qstr_ERROR____Towns:_{reg25|ERROR -- Towns: {reg25} tavern keepers: {reg26}
qstr_ERROR____Towns:_{reg25}|ERROR -- Towns: {reg25} weaponsmiths: {reg26}
qstr_ERROR____Towns:_{reg25}_|ERROR -- Towns: {reg25} armorers: {reg26}
qstr_ERROR____Towns:_{reg25}_m|ERROR -- Towns: {reg25} merchants: {reg26}
qstr_ERROR____Towns:_{reg25}_h|ERROR -- Towns: {reg25} horse merchants: {reg26}
qstr_ERROR____Towns:_{reg25}_a|ERROR -- Towns: {reg25} arena masters: {reg26}
qstr_ERROR____Towns:_{reg25}_c|ERROR -- Towns: {reg25} craftsmen: {reg26}
qstr_____________________|----------------------------- BATTLE ----------------------------
qstr_{s26}_[o:_{reg30}_d:|{s26} [o: {reg30} d: {reg29}] vs {s25} [o: {reg28} d: {reg27}]
qstr_{s26}_deals_{reg26}_|{s26} deals {reg26} to {s25} ----- {s25} deals {reg25} to {s26}
qstr______________________|-----------------------------------------------------------------
qstr_Your_recruiter_who_w|Your recruiter who was commissioned to recruit {reg10} recruits to {s13} has been defeated!
qstr_Your_caravan_sending|Your caravan sending {s12} to {s13} has been defeated!
qstr_Your_messenger_on_th|Your messenger on the way to {s13} has been defeated!
qstr_Your_messenger_on_the|Your messenger on the way to {s13} has been defeated by {s14}!
qstr_Roman_Empire|Roman Empire
qstr_The_Roman_Empire_has|The Roman Empire has been restored!
qstr_Roman_Empire_of_Nica|Roman Empire of Nicaea
qstr_The_Roman_Empire_cea|The Roman Empire ceases to exist!
qstr_{s54}_is_a_claimant_|{s54} is a claimant to the throne of {s56}.
qstr_nowhere|nowhere
qstr_{s57}_and_{s58}|{s57} and {s58}
qstr_{reg3?She:He}|{reg3?She:He}
qstr_The_town_of_{s50}|The town of {s50}
qstr_The_village_of_{s50}|The village of {s50} near {s52}
qstr_{s51}_belongs_to_{s1|{s51} belongs to {s1} of {s2}.^
qstr_{s7}_and_{s8}|{s7} and {s8}
qstr_{s2}It_has_no_villag|{s2}It has no villages.^
qstr_{s2}{reg0?Its_villag|{s2}{reg0?Its villages are:Its village is} {s8}.^
qstr_{s2}Its_prosperity_i|{s2}Its prosperity is: {s50}
qstr_noone|noone
qstr_{s9}_and_{s10}|{s9} and {s10}
qstr_{s5}_has_been_defeat|{s5} has been defeated!
qstr___DEBUG___count_of_l|--DEBUG-- count of lords and ladies for {s25} is not equal
qstr_{s7}_opened_the_gate|{s7} opened the gate
qstr_{s7}_closed_the_gate|{s7} closed the gate
qstr_This_item_is_severel|This item is severely damaged!
qstr_+{reg1}_to_party_mor|+{reg1} to party morale
qstr_Requires_{reg1}_inte|Requires {reg1} intelligence to read
qstr_Reading_Progress:_{r|Reading Progress: {reg1}%
qstr_wound_treament|wound treament
qstr_trainer|trainer
qstr_surgery|surgery
qstr_+1_to_{s1}_while_in_|+1 to {s1} while in inventory
qstr_Move_here|Move here
qstr_View_notes|View notes
qstr_Accompany|Accompany
qstr_killed|killed
qstr_wounded|wounded
qstr_{s0}^TOTAL:_{reg3}__|{s0}^TOTAL: {reg3} ({s2})
qstr_^None|^None
qstr_nothing|nothing
qstr_{reg0}_village{reg1?|{reg0} village{reg1?s:}
qstr_{reg0}_castle{reg1?s|{reg0} castle{reg1?s:}
qstr_{reg0}_castle{reg1?s:|{reg0} castle{reg1?s:} and {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} town{reg1?s:}
qstr_{reg0}_town{reg1?s:}_|{reg0} town{reg1?s:} and {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} town{reg1?s:}, {s0}
qstr_Your_opponents_are_r|Your opponents are ready for the fight.
qstr_Try_to_destroy_as_ma|Try to destroy as many targets as you can. You have two and a half minutes to clear the track.
qstr_Stay_behind_the_line|Stay behind the line on the ground and shoot the targets. Try not to waste any shots.
qstr_DEBUG____{s21}_dista|DEBUG -- {s21} distance {reg21}
qstr_Battle_Advantage_=_{|Battle Advantage = {reg0}.
qstr_{s9}_wants_you_to_re|{s9} wants you to resume following his army until further notice.
qstr_attrition_{s25}___{r|attrition {s25} - {reg25}
qstr_pt_in_{s11}|pt in {s11}
qstr__Being_Raided_|(Being Raided)
qstr__Looted_|(Looted)
qstr__Under_Siege_|(Under Siege)
qstr_The_village_of_{s1}_|The village of {s1} has been looted by {s2}.
qstr_{s3}_is_no_longer_un|{s3} is no longer under siege.
qstr_Small_bands_of_enemi|Small bands of enemies spotted near {s1}.
qstr_Enemy_patrols_spotte|Enemy patrols spotted near {s1}.
qstr_Medium_sized_group_o|Medium-sized group of enemies spotted near {s1}.
qstr_Significant_group_of|Significant group of enemies spotted near {s1}.
qstr_Army_of_enemies_spot|Army of enemies spotted near {s1}.
qstr_Large_army_of_enemie|Large army of enemies spotted near {s1}.
qstr_Great_host_of_enemie|Great host of enemies spotted near {s1}.
qstr_{s1}_has_been_besieg|{s1} has been besieged by {s2} of {s3}.
qstr__{s1}__{s11}:_{s14}|({s1}) {s11}: {s14}
qstr_{s14}__{s21}_|{s14} ({s21})
qstr_{s1}_is_the_new_mars|{s1} is the new marshal of {s2}.
qstr_{s22}_the_marshal_of|{s22}, the marshal of {s21}, decides to gather the army around {s23}.
qstr_{s5}_begins_an_offen|{s5} begins an offensive.  Curret target is {s22}
qstr_You_gained_{reg12}_r|You gained {reg12} renown.
qstr_You_lose_{reg12}_ren|You lose {reg12} renown.
qstr_Your_relation_with_{|Your relation with {s1} has improved.
qstr_Your_relation_with_{s|Your relation with {s1} has deteriorated.
qstr_You_gain_honour.|You gain honour.
qstr_You_lose_honour.|You lose honour.
qstr_Muslims:_{reg25}_pag|Muslims: {reg25} pagans (Balt): {reg26} pagans (Mongols): {reg29} catholics: {reg27} orthodox: {reg28}
qstr_{s1}_has_declared_wa|{s1} has declared war against {s2}.
qstr_{s1}_and_{s2}_have_m|{s1} and {s2} have made peace with each other.
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3?was:is currently} at {s3}.
qstr_{s2}_{reg3?was:is}_t|{s2} {reg3?was:is} travelling to {s3} and {reg4?she:he} {reg3?was:should be} close to {s4}{reg3?: at the moment}.
