trp_multiplayer_profile_troop_male|联 机 男 性 玩 家 角 色 
trp_multiplayer_profile_troop_male_pl|联 机 男 性 玩 家 角 色 
trp_multiplayer_profile_troop_female|联 机 女 性 玩 家 角 色 
trp_multiplayer_profile_troop_female_pl|联 机 女 性 玩 家 角 色 
trp_temp_troop|Temp Troop
trp_temp_troop_pl|Temp Troop
trp_find_item_cheat|find item cheat
trp_find_item_cheat_pl|find item cheat
trp_random_town_sequence|Random Town Sequence
trp_random_town_sequence_pl|Random Town Sequence
trp_tournament_participants|竞 技 场 选 手 
trp_tournament_participants_pl|竞 技 场 选 手 
trp_tutorial_maceman|锤 子 手 
trp_tutorial_maceman_pl|锤 子 手 
trp_tutorial_archer|弓 箭 手 
trp_tutorial_archer_pl|弓 箭 手 
trp_tutorial_swordsman|剑 士 
trp_tutorial_swordsman_pl|剑 士 
trp_novice_fighter|初 级 斗 士 
trp_novice_fighter_pl|初 级 斗 士 
trp_regular_fighter|职 业 斗 士 
trp_regular_fighter_pl|职 业 斗 士 
trp_veteran_fighter|资 深 斗 士 
trp_veteran_fighter_pl|资 深 斗 士 
trp_champion_fighter|格 斗 大 师
trp_champion_fighter_pl|格 斗 大 师
trp_arena_training_fighter_1|初 级 斗 士 
trp_arena_training_fighter_1_pl|初 级 斗 士 
trp_arena_training_fighter_2|初 级 斗 士 
trp_arena_training_fighter_2_pl|初 级 斗 士 
trp_arena_training_fighter_3|正 规 斗 士 
trp_arena_training_fighter_3_pl|正 规 斗 士 
trp_arena_training_fighter_4|正 规 斗 士 
trp_arena_training_fighter_4_pl|正 规 斗 士 
trp_arena_training_fighter_5|正 规 斗 士 
trp_arena_training_fighter_5_pl|正 规 斗 士 
trp_arena_training_fighter_6|资 深 斗 士 
trp_arena_training_fighter_6_pl|资 深 斗 士 
trp_arena_training_fighter_7|资 深 斗 士 
trp_arena_training_fighter_7_pl|资 深 斗 士 
trp_arena_training_fighter_8|资 深 斗 士 
trp_arena_training_fighter_8_pl|资 深 斗 士 
trp_arena_training_fighter_9|精 英 斗 士 
trp_arena_training_fighter_9_pl|精 英 斗 士 
trp_arena_training_fighter_10|精 英 斗 士 
trp_arena_training_fighter_10_pl|精 英 斗 士 
trp_cattle|牛 
trp_cattle_pl|牛 
trp_farmer|农 民
trp_farmer_pl|农 民
trp_mercenary_village_footman|雇 佣 民 兵 
trp_mercenary_village_footman_pl|雇 佣 民 兵 
trp_mercenary_village_skirmisher|雇 佣 平 民 弓 箭 手 
trp_mercenary_village_skirmisher_pl|雇 佣 平 民 弓 箭 手 
trp_mercenary_town_recruit|雇 佣 城 镇 民 兵 
trp_mercenary_town_recruit_pl|雇 佣 城 镇 民 兵 
trp_mercenary_town_footman|雇 佣 轻 步 兵 
trp_mercenary_town_footman_pl|雇 佣 轻 步 兵 
trp_mercenary_town_skirmisher|雇 佣 持 弩 民 兵 
trp_mercenary_town_skirmisher_pl|雇 佣 持 弩 民 兵 
trp_mercenary_veteran_swordsman|雇 佣 战 士 
trp_mercenary_veteran_swordsman_pl|雇 佣 战 士 
trp_mercenary_veteran_billman|雇 佣 戟 兵 
trp_mercenary_veteran_billman_pl|雇 佣 戟 兵 
trp_mercenary_veteran_spearman|雇 佣 长 矛 军 士 
trp_mercenary_veteran_spearman_pl|雇 佣 长 矛 军 士 
trp_mercenary_veteran_crossbowman|雇 佣 轻 装 弩 兵 
trp_mercenary_veteran_crossbowman_pl|雇 佣 轻 装 弩 兵 
trp_mercenary_veteran_archer|雇 佣 熟 练 弓 箭 手 
trp_mercenary_veteran_archer_pl|雇 佣 熟 练 弓 箭 手 
trp_mercenary_bills_sergeant|雇 佣 武 装 戟 兵 
trp_mercenary_bills_sergeant_pl|雇 佣 武 装 戟 兵 
trp_mercenary_swords_sergeant|雇 佣 剑 客 
trp_mercenary_swords_sergeant_pl|雇 佣 剑 客 
trp_mercenary_spears_sergeant|雇 佣 重 装 长 矛 军 士 
trp_mercenary_spears_sergeant_pl|雇 佣 重 装 长 矛 军 士 
trp_mercenary_crossbows_sergeant|雇 佣 持 盾 重 弩 手 
trp_mercenary_crossbows_sergeant_pl|雇 佣 持 盾 重 弩 手 
trp_mercenary_bows_sergeant|雇 佣 长 弓 兵 
trp_mercenary_bows_sergeant_pl|雇 佣 长 弓 兵 
trp_mercenary_light_cavalry|雇 佣 轻 装 枪 骑 兵 
trp_mercenary_light_cavalry_pl|雇 佣 轻 装 枪 骑 兵 
trp_mercenary_medium_cavalry|雇 佣 枪 骑 兵 
trp_mercenary_medium_cavalry_pl|雇 佣 枪 骑 兵 
trp_mercenary_squire|将 领 卫 队 
trp_mercenary_squire_pl|将 领 卫 队 
trp_mercenary_knight|游 侠 
trp_mercenary_knight_pl|游 侠 
trp_merc_sicily_foot_archer_1|西 西 里 雇 佣 弓 箭 手 
trp_merc_sicily_foot_archer_1_pl|西 西 里 雇 佣 弓 箭 手 
trp_merc_sicily_foot_archer_2|西 西 里 穆 斯 林 弓 箭 手 
trp_merc_sicily_foot_archer_2_pl|西 西 里 穆 斯 林 弓 箭 手 
trp_merc_sicily_horse_archer_1|西 西 里 雇 佣 骑 射 手 
trp_merc_sicily_horse_archer_1_pl|J西 西 里 雇 佣 骑 射 手 
trp_merc_sicily_horse_archer_2|西 西 里 雇 佣 弓 骑 兵 
trp_merc_sicily_horse_archer_2_pl|西 西 里 雇 佣 弓 骑 兵 
trp_merc_sicily_infantry_1|西 西 里 雇 佣 步 兵 
trp_merc_sicily_infantry_1_pl|西 西 里 雇 佣 步 兵 
trp_merc_sicily_infantry_2|西 西 里 雇 佣 战 士 
