p_zendar|禪 達 
p_town_1|克 拉 科 夫 
p_town_2|弗 羅 茨 瓦 夫 
p_town_3|格 但 斯 克 
p_town_4|波 茲 南 
p_town_1_1|埃 爾 賓 
p_town_1_2|哥 尼 斯 堡 
p_town_1_3|索 恩 
p_town_1_4|裡 加 
p_town_2_1|維 爾 紐 斯 
p_town_2_2|考 納 斯 
p_town_2_3|格 羅 德 諾 
p_town_2_4|波 洛 茨 克 
p_town_3_1|薩 萊 
p_town_3_2|斯 摩 稜 斯 克 
p_town_3_3|基 輔 
p_town_3_4|切 爾 尼 戈 夫 
p_town_4_1|隆 德 
p_town_4_2|羅 斯 基 勒 
p_town_4_3|雷 瓦 爾 
p_town_4_4|維 堡 
p_town_6_1|紐 倫 堡 
p_town_6_2|科 隆 
p_town_6_3|法 蘭 克 福 
p_town_6_4|布 拉 格 
p_town_6_5|馬 格 德 堡 
p_town_6_6|呂 貝 克 
p_town_6_7|熱 那 亞 
p_town_7_1|瓦 拉 德 
p_town_7_2|薩 格 勒 布 
p_town_7_3|布 拉 迪 斯 拉 發 
p_town_7_4|塞 格 德 
p_town_8_1|諾 夫 哥 羅 德 
p_town_8_2|舊 魯 薩 
p_town_9_1|倫 敦 
p_town_9_2|布 裡 斯 托 爾 
p_town_9_3|切 斯 特 
p_town_9_4|約 克 
p_town_9_5|波 爾 多 
p_town_9_6|都 柏 林 
p_town_10_1|巴 黎 
p_town_10_2|南 特 
p_town_10_3|第 戎 
p_town_10_4|圖 盧 茲 
p_town_10_5|魯 昂 
p_town_10_6|普 羅 旺 斯 艾 克 斯 
p_town_11_1|尼 德 羅 斯 
p_town_11_2|卑 爾 根 
p_town_11_3|奧 斯 陸 
p_town_12_1|斯 特 靈 
p_town_12_2|格 拉 斯 哥 
p_town_13_1|多 尼 戈 爾 
p_town_13_2|鄧 甘 嫩 
p_town_14_1|韋 斯 特 羅 斯 
p_town_14_2|阿 布 
p_town_14_3|維 斯 比 
p_town_15_1|弗 拉 基 米 爾 
p_town_15_2|加 利 奇 
p_town_15_3|利 沃 夫 
p_town_16_1|裡 斯 本 
p_town_16_2|科 英 布 拉 
p_town_17_1|巴 塞 羅 那 
p_town_17_2|瓦 倫 西 亞 
p_town_18_1|托 萊 多 
p_town_18_2|塞 維 利 亞 
p_town_20_1|格 拉 納 達 
p_town_20_2|龍 達 
p_town_21_1|羅 馬 
p_town_22_1|尼 西 亞 
p_town_22_2|士 麥 那 
p_town_22_3|科 羅 塞 
p_town_22_4|帖 撒 羅 尼 迦 
p_town_23_1|阿 卡 
p_town_23_2|塔 爾 蘇 斯 
p_town_23_3|耶 路 撒 冷 
p_town_23_4|安 提 阿 
p_town_23_5|尼 科 西 亞 
p_town_24_1|巴 勒 莫 
p_town_24_2|那 不 勒 斯 
p_town_25_1|開 羅 
p_town_25_2|亞 歷 山 大 
p_town_25_3|杜 姆 亞 特 
p_town_25_4|大 馬 士 革 
p_town_26_1|君 士 坦 丁 堡 
p_town_26_2|雅 典 
p_town_27_1|特 拉 比 松 
p_town_27_2|安 卡 拉 
p_town_27_3|科 尼 亞 
p_town_28_1|突 尼 斯 
p_town_28_2|的 黎 波 裡 
p_town_29_1|茲 韋 錢 
p_town_29_2|科 托 爾 
p_town_30_1|特 爾 諾 沃 
p_town_30_2|菲 利 波 波 利 
p_town_31_1|非 斯 
p_town_31_2|馬 拉 喀 什 
p_town_31_3|瓦 赫 蘭 
p_castle_1|格 涅 茲 諾 
p_castle_2|桑 多 梅 日 
p_castle_3|格 沃 古 夫 
p_castle_4|奧 波 萊 
p_castle_5|車 默 諾 
p_castle_6|克 斯 沃 
p_castle_7|盧 布 斯 卡 
p_castle_8|盧 布 林 
p_castle_1_1|阿 倫 斯 堡 
p_castle_1_2|巴 爾 加 
