qstr_{reg61}.0{reg62}|{reg61}.0{reg62}
qstr_{reg61}.{reg62}|{reg61}.{reg62}
qstr_Shot_distance:_{s1}_|射 擊 距 離： {s1}米。 
qstr_Anno_Domini_1257|Anno Domini 1257
qstr_ad1257svn_revision:_|ad1257svn 版 本： 
qstr_{s21}{s22}|{s21}{s22}
qstr_Next_Page|下 一 頁 
qstr_Game_Rules:^|游 戲 規 則： ^
qstr_0|0
qstr_Show_game_rules|顯 示 游 戲 規 則 
qstr_Continue...|繼 續… … 
qstr_Candidate_#1:_{s1}|一 號 侯 選 者 ： {s1}
qstr_Candidate_#2:_{s1}|二 號 侯 選 者 ： {s1}
qstr_{s3}_of_{s4}_wishes_|{s4}的 {s3}希 望 能 夠 選 出 一 個 新 的 元 帥， 並 邀 請 了 他 的 封 臣 們 給 他 一 些 建 議。 {s1}和 {s2}應 該 是 候 選 人。 
qstr_Who_do_you_wish_to_s|你 想 要 支 持 誰？ 
qstr_{s1}_gives_his_suppo|{s1}支 持 {s2}。 
qstr_Number_of_Supporters|支 持 者 的 數 目 ： {reg0}
qstr_{s2}_has_heard_his_v|{s2}聽 從 了 他 的 封 臣 們 的 建 議。 他 選 擇 了 {s1}來 做 {s3}的 元 帥。 
qstr_Action|行 動 
qstr_Mount|上 馬 
qstr_Attack_Type|武 器 選 擇 
qstr_Stand_Ground|站 崗 
qstr_Charge|沖 鋒 
qstr_Follow_Me|隨 我 來 
qstr_Hold_This_Position|堅 守 此 地 
qstr_Spread_Out|散 開 
qstr_Stand_Closer|聚 攏 
qstr_Fall_Back|退 後 
qstr_Advance|前 進 
qstr_Dismount|下 馬 
qstr_Fire_At_Will|任 意 射 擊 
qstr_Hold_Your_Fire|停 止 射 擊 
qstr_Use_Blunt_Weapons|使 用 鈍 擊 武 器 
qstr_Use_Any_Weapon|使 用 任 意 武 器 
qstr_Ready|准 備 
qstr_Wounded|受 傷 
qstr_Dead|死 亡 
qstr_Number_of_men_knocke|死 傷 人 數 ： {reg1}
qstr_Number_of_men_left:_|剩 余 人 數 ： {reg1}
qstr_Opponents_Beaten:_{r|擊 倒 對 手 數 量 ： {reg1}
qstr_Opponents_Remaining:|剩 余 對 手 數 量 ： {reg1}
qstr_Remain_in_retirement|決 定 退 休。 
qstr_Go_back_to_the_adven|繼 續 冒 險。 
qstr_You_have_retired_at_|你 在 經 過 {reg5}天 的 冒 險 到 達 {reg4}級 的 時 候 決 定 退 休 了。 
qstr_Effect_on_Score|得 分 影 響 
qstr_Settlements_owned_by|你 的 領 地 數 ： {reg0}
qstr_Friendly_Settlements|友 軍 領 地 數 ： {reg0}
qstr_Hostile_Settlements:|敵 軍 領 地 數 ： {reg0}
qstr_Friendly_Lords:_{reg|友 軍 領 主 ： {reg0}
